Report ID,Arrest Date,Age,Sex Code
6736115,1/2/2024,36,M
241411023,6/27/2024,34,M
6735646,1/1/2024,35,M
6737762,1/5/2024,53,M
6735501,1/1/2024,27,M
6735657,1/1/2024,38,M
6737865,1/5/2024,44,M
6737812,1/5/2024,38,F
6737164,1/4/2024,32,F
6737140,1/4/2024,24,F
6736160,1/2/2024,53,M
6737898,1/5/2024,30,M
240204258,1/3/2024,31,M
6735684,1/1/2024,24,F
6736424,1/3/2024,37,M
6737325,1/4/2024,7,F
240704207,1/5/2024,51,F
6735244,1/1/2024,23,M
6736690,1/3/2024,26,M
6736248,1/2/2024,28,F
6735834,1/2/2024,35,M
6736361,1/3/2024,40,F
240204345,1/5/2024,76,M
241504050,1/1/2024,30,M
240104425,1/6/2024,26,M
6736463,1/3/2024,30,M
6735718,1/1/2024,28,M
6738463,1/6/2024,28,M
6737796,1/5/2024,48,M
240204142,1/3/2024,35,M
241604116,1/4/2024,56,F
6735557,1/1/2024,38,M
6735588,1/1/2024,39,M
241104146,1/4/2024,67,M
241504157,1/3/2024,28,M
241804276,1/5/2024,31,F
240204115,1/3/2024,22,M
241813580,10/1/2024,13,F
241104271,1/5/2024,36,M
6737744,1/5/2024,39,M
6737052,1/4/2024,22,M
6736398,1/3/2024,53,M
6738379,1/6/2024,22,F
240104271,1/3/2024,30,M
241604111,1/4/2024,52,M
240104277,1/4/2024,33,M
6737169,1/4/2024,21,M
6737239,1/4/2024,58,M
6735598,1/1/2024,33,F
6737197,1/4/2024,30,F
6735909,1/2/2024,52,F
241604123,1/4/2024,67,F
6736571,1/3/2024,27,M
6738346,1/6/2024,55,M
241204320,1/5/2024,28,F
6738067,1/6/2024,24,F
240104378,1/5/2024,44,M
240104269,1/3/2024,30,M
6738408,1/6/2024,60,M
6736390,1/3/2024,14,M
6736591,1/3/2024,32,M
6737223,1/4/2024,40,M
6735619,1/1/2024,33,F
242004234,1/5/2024,50,F
240704208,1/5/2024,30,M
6737266,1/4/2024,28,M
240104313,1/4/2024,77,F
6737381,1/5/2024,31,M
6737209,1/4/2024,58,M
6737155,1/4/2024,2,F
6737471,1/5/2024,32,M
6735518,1/1/2024,24,F
241504178,1/3/2024,32,M
6735647,1/1/2024,41,M
240408737,7/7/2024,20,F
6735618,1/1/2024,24,F
6736603,1/3/2024,21,M
240204144,1/3/2024,35,M
6736501,1/3/2024,39,M
241204323,1/5/2024,20,F
6736653,1/3/2024,32,M
6736621,1/3/2024,28,M
240204112,1/3/2024,34,M
6736583,1/3/2024,46,M
240119342,10/2/2024,54,F
6922500,11/21/2024,38,M
241204162,1/3/2024,31,M
6737711,1/5/2024,27,M
6737479,1/5/2024,29,F
6736134,1/2/2024,24,M
6737020,1/4/2024,31,M
6738075,1/6/2024,46,M
6736668,1/3/2024,29,M
241504295,1/4/2024,37,M
6738375,1/6/2024,35,M
241104213,1/5/2024,46,M
6737447,1/5/2024,20,F
6737741,1/5/2024,40,F
6735851,1/2/2024,29,M
240304183,1/4/2024,69,F
6737151,1/4/2024,21,M
241104214,1/5/2024,47,F
6738376,1/6/2024,50,M
6737261,1/4/2024,48,M
242104078,1/3/2024,21,M
6738047,1/6/2024,40,M
242004228,1/5/2024,31,F
240204346,1/5/2024,39,M
6736643,1/3/2024,49,F
240119521,10/5/2024,61,M
6738419,1/6/2024,47,M
6735222,1/1/2024,29,M
241904059,1/2/2024,39,F
6735597,1/1/2024,39,M
6736535,1/3/2024,39,M
6738444,1/6/2024,41,M
6736548,1/3/2024,39,M
6738326,1/6/2024,61,M
6738315,1/6/2024,45,F
6737029,1/4/2024,40,F
6736227,1/2/2024,18,M
6737106,1/4/2024,28,M
241804278,1/5/2024,30,F
6735216,1/1/2024,31,F
6735642,1/1/2024,35,F
6736172,1/2/2024,25,M
6735599,1/1/2024,30,M
6737734,1/5/2024,31,M
6736984,1/4/2024,25,M
6736682,1/3/2024,38,F
6738397,1/6/2024,34,M
241604118,1/4/2024,41,M
240604093,1/1/2024,20,M
6735682,1/1/2024,26,F
6736324,1/3/2024,35,M
6737876,1/5/2024,27,M
6736212,1/2/2024,41,M
6738290,1/6/2024,37,M
6735475,1/1/2024,29,F
6738381,1/6/2024,36,F
6738380,1/6/2024,28,M
6737446,1/5/2024,29,M
240104283,1/4/2024,34,M
6736588,1/3/2024,34,F
240104329,1/4/2024,22,M
6737253,1/4/2024,32,M
6735236,1/1/2024,47,M
6735815,1/2/2024,29,M
6737062,1/4/2024,33,M
6737988,1/6/2024,50,M
6737250,1/4/2024,40,M
240904035,1/2/2024,39,M
6737820,1/5/2024,16,M
240804206,1/6/2024,31,F
6736225,1/2/2024,16,M
241604119,1/4/2024,61,F
6737256,1/4/2024,47,M
6737322,1/4/2024,9,F
6735820,1/2/2024,27,M
6735644,1/1/2024,38,M
6735227,1/1/2024,49,M
240800507,1/4/2024,46,F
6738472,1/6/2024,29,M
241109245,7/11/2024,28,F
240104262,1/4/2024,18,M
6736196,1/2/2024,34,M
6735514,1/1/2024,60,M
6736140,1/2/2024,33,M
241804240,1/4/2024,21,M
6735467,1/1/2024,46,F
6736986,1/4/2024,36,M
241504304,1/4/2024,35,M
240104099,1/1/2024,44,M
240804210,1/5/2024,62,M
6736415,1/3/2024,29,M
6735464,1/1/2024,33,M
6737445,1/5/2024,28,F
6738343,1/6/2024,34,F
241304244,1/6/2024,25,F
6737832,1/5/2024,16,M
6735622,1/1/2024,19,M
6736191,1/2/2024,33,M
240104024,1/1/2024,52,M
6736237,1/2/2024,33,M
241804237,1/4/2024,24,M
241704299,1/4/2024,49,F
6737211,1/4/2024,55,M
6738360,1/6/2024,20,M
240704211,1/3/2024,59,F
6736637,1/3/2024,25,M
6738310,1/6/2024,22,M
6735762,1/2/2024,37,F
241504263,1/3/2024,49,M
6737999,1/6/2024,21,F
6736365,1/3/2024,34,M
6736274,1/2/2024,41,M
6737251,1/4/2024,22,F
6735508,1/1/2024,48,M
6738450,1/6/2024,32,M
6737271,1/4/2024,55,M
6737707,1/5/2024,32,M
6735493,1/1/2024,26,M
241104161,1/3/2024,32,M
6738409,1/6/2024,53,M
6736230,1/2/2024,29,F
6735681,1/1/2024,33,M
6735550,1/1/2024,28,M
6737731,1/5/2024,49,F
6738308,1/6/2024,38,M
6737969,1/6/2024,33,M
6736228,1/2/2024,24,M
241604121,1/4/2024,51,M
6738336,1/6/2024,39,F
6735832,1/2/2024,30,M
6737475,1/5/2024,29,F
6793576,4/16/2024,59,M
241104005,1/1/2024,22,M
6737448,1/5/2024,38,M
242104077,1/3/2024,24,M
241604105,1/4/2024,21,M
240204342,1/5/2024,50,M
6736152,1/2/2024,30,M
6735601,1/1/2024,27,M
6736623,1/3/2024,35,M
240104090,1/1/2024,39,M
241104177,1/5/2024,36,M
230200509,1/3/2024,40,M
6735786,1/2/2024,48,M
6737881,1/5/2024,44,M
6735556,1/1/2024,53,M
6736199,1/2/2024,34,M
6735757,1/2/2024,28,M
6736705,1/3/2024,43,M
6738056,1/6/2024,34,F
6735784,1/2/2024,35,M
6738473,1/6/2024,21,M
6738446,1/6/2024,30,M
6735570,1/1/2024,17,M
6737927,1/5/2024,53,M
6736267,1/2/2024,43,M
6737840,1/5/2024,28,M
6738459,1/6/2024,28,M
6738385,1/6/2024,29,M
6736585,1/3/2024,42,F
241904058,1/2/2024,53,M
6736340,1/3/2024,15,M
6737809,1/5/2024,49,F
241604109,1/4/2024,26,M
6736671,1/3/2024,38,M
241104217,1/5/2024,18,M
6737323,1/4/2024,9,F
6736593,1/3/2024,49,M
240104345,1/5/2024,33,M
6735497,1/1/2024,57,M
6736657,1/3/2024,28,M
241804304,1/5/2024,40,M
6738300,1/6/2024,45,M
241504174,1/3/2024,23,M
6738011,1/6/2024,22,M
6737745,1/5/2024,13,M
6735616,1/1/2024,29,M
6737255,1/4/2024,18,F
240204015,1/2/2024,40,M
6735246,1/1/2024,23,M
6736148,1/2/2024,43,M
240104331,1/4/2024,30,M
6736349,1/3/2024,12,M
6737144,1/4/2024,0,M
6735708,1/2/2024,28,M
6736218,1/2/2024,19,M
240104341,1/4/2024,28,M
6737465,1/5/2024,27,M
241604107,1/4/2024,29,M
6736606,1/3/2024,43,F
6737887,1/5/2024,28,F
6736351,1/3/2024,37,M
6735662,1/1/2024,25,M
240704080,1/2/2024,28,M
242004227,1/5/2024,28,F
6737718,1/5/2024,44,M
241604108,1/4/2024,37,M
240104006,1/1/2024,36,M
6738318,1/6/2024,43,M
6737752,1/5/2024,30,M
240804208,1/5/2024,26,M
6736229,1/2/2024,29,M
6736147,1/2/2024,28,F
6736996,1/4/2024,35,M
241504269,1/4/2024,30,M
240300513,1/5/2024,32,M
6737700,1/5/2024,43,M
242004232,1/5/2024,37,F
240104377,1/5/2024,44,M
240404170,1/5/2024,47,F
241704297,1/4/2024,58,M
6737115,1/4/2024,44,M
6737077,1/4/2024,55,F
6736307,1/2/2024,38,M
240204045,1/2/2024,36,M
240204317,1/6/2024,35,M
6736203,1/2/2024,35,M
240804211,1/5/2024,51,F
240604032,1/2/2024,37,M
240119385,10/2/2024,32,F
6737727,1/5/2024,35,M
6735545,1/1/2024,7,M
6737720,1/5/2024,30,M
242004229,1/5/2024,29,M
240104101,1/2/2024,43,M
6737121,1/4/2024,31,M
241204297,1/5/2024,29,M
6735575,1/1/2024,36,M
6736348,1/3/2024,13,M
6735641,1/1/2024,28,F
6737972,1/6/2024,22,M
6736142,1/2/2024,37,M
6736675,1/3/2024,33,F
6737227,1/4/2024,35,M
6737944,1/5/2024,40,M
6737868,1/5/2024,36,M
6736498,1/3/2024,43,F
241804305,1/5/2024,37,F
6737382,1/5/2024,23,M
6736180,1/2/2024,40,M
6737967,1/5/2024,32,M
6736256,1/2/2024,52,M
6737860,1/5/2024,41,M
6736330,1/3/2024,48,M
6736636,1/3/2024,32,F
240104436,1/6/2024,40,M
6737428,1/5/2024,25,M
6736377,1/3/2024,20,F
6736611,1/3/2024,33,M
241804306,1/5/2024,36,M
242004231,1/5/2024,52,M
240612378,10/3/2024,25,M
6736401,1/3/2024,42,M
6737914,1/5/2024,49,M
6736466,1/3/2024,46,M
242104061,1/2/2024,29,M
6873036,8/27/2024,19,F
6878406,9/5/2024,38,M
6737756,1/5/2024,40,F
240804212,1/5/2024,37,M
241104159,1/3/2024,33,M
6737308,1/4/2024,56,M
6737748,1/5/2024,43,F
6735629,1/1/2024,24,M
241504201,1/3/2024,23,M
6736651,1/3/2024,44,M
240104338,1/4/2024,28,F
6738007,1/6/2024,31,F
6735245,1/1/2024,26,M
6735237,1/1/2024,27,M
6735566,1/1/2024,20,M
241804177,1/4/2024,39,M
241804229,1/4/2024,33,M
240304087,1/2/2024,35,M
6736193,1/2/2024,44,F
240104355,1/5/2024,23,M
6737048,1/4/2024,28,M
240104174,1/3/2024,45,M
6737162,1/4/2024,35,F
6735628,1/1/2024,24,M
6736264,1/2/2024,60,F
6735703,1/1/2024,27,M
6736948,1/4/2024,31,M
6737869,1/5/2024,40,M
240400510,1/4/2024,42,M
6736300,1/3/2024,32,M
6738305,1/6/2024,36,M
6738348,1/6/2024,56,M
6737893,1/5/2024,45,M
6738038,1/6/2024,39,M
240904024,1/1/2024,24,M
6736275,1/2/2024,32,M
6735585,1/1/2024,40,M
6735542,1/1/2024,5,F
241604112,1/4/2024,18,M
6737936,1/5/2024,57,M
6737813,1/5/2024,54,M
6735614,1/1/2024,39,M
6735868,1/2/2024,49,M
6735678,1/1/2024,34,M
6735490,1/1/2024,44,M
6737397,1/5/2024,42,M
6736491,1/3/2024,38,M
241808989,4/18/2024,58,M
240210925,6/9/2024,45,M
242004233,1/5/2024,53,F
241804241,1/4/2024,30,M
6737426,1/4/2024,35,M
6736384,1/3/2024,15,M
241804230,1/4/2024,35,M
6735664,1/1/2024,23,M
6738058,1/6/2024,39,M
6735707,1/1/2024,48,M
6736249,1/2/2024,33,M
6737359,1/5/2024,32,M
241304170,1/4/2024,39,M
242004235,1/5/2024,30,M
6736679,1/3/2024,37,M
6735218,1/1/2024,39,M
6737229,1/4/2024,24,F
240104347,1/5/2024,34,M
6736313,1/3/2024,21,F
6737935,1/5/2024,35,M
241604122,1/4/2024,43,F
6737867,1/5/2024,36,M
241813531,10/1/2024,27,M
240104161,1/2/2024,47,M
6738040,1/6/2024,22,M
240804213,1/5/2024,37,F
6736500,1/3/2024,27,M
6737971,1/6/2024,44,F
6735711,1/2/2024,28,M
6738292,1/6/2024,30,M
240104335,1/4/2024,28,M
6737289,1/4/2024,32,F
241104215,1/5/2024,31,M
240704044,1/2/2024,50,F
241604114,1/4/2024,28,M
241404074,1/3/2024,25,M
6735672,1/1/2024,29,M
6736243,1/2/2024,41,M
241104143,1/3/2024,39,F
6738426,1/6/2024,37,M
240204110,1/3/2024,32,M
6737133,1/4/2024,14,F
242104220,1/6/2024,50,M
6737438,1/5/2024,38,M
6737384,1/5/2024,61,F
6737842,1/5/2024,36,F
6738311,1/6/2024,23,M
6737984,1/6/2024,59,M
240204297,1/5/2024,38,F
6737859,1/5/2024,6,F
6737759,1/5/2024,41,M
6735520,1/1/2024,36,M
6735543,1/1/2024,11,F
6737270,1/4/2024,32,M
6736154,1/2/2024,51,M
6735878,1/2/2024,26,F
6736666,1/3/2024,46,F
240104333,1/4/2024,50,M
240204254,1/3/2024,49,M
6737329,1/4/2024,17,F
6736226,1/2/2024,38,F
6736197,1/2/2024,39,F
6735655,1/1/2024,35,M
241704271,1/5/2024,34,M
6737693,1/5/2024,34,M
6737398,1/5/2024,27,F
240804205,1/6/2024,29,F
6736198,1/2/2024,23,M
6738437,1/6/2024,42,M
241904146,1/3/2024,27,M
6737721,1/5/2024,29,F
6737058,1/4/2024,36,M
6735463,1/1/2024,44,M
6738006,1/6/2024,27,M
6735606,1/1/2024,37,M
6736673,1/3/2024,18,M
6737458,1/5/2024,37,F
6736393,1/3/2024,24,F
6737904,1/5/2024,69,M
241804275,1/5/2024,31,F
6735880,1/2/2024,46,M
6735694,1/1/2024,20,M
241804231,1/4/2024,34,M
240304377,1/5/2024,56,M
240204248,1/3/2024,59,M
6735860,1/2/2024,22,M
6735461,1/1/2024,25,M
241604042,1/2/2024,46,M
6737798,1/5/2024,30,M
240204433,1/8/2024,32,M
6738513,1/7/2024,31,M
240204514,1/8/2024,50,M
240704294,1/7/2024,36,F
241604238,1/8/2024,44,M
240104573,1/8/2024,33,M
241504499,1/9/2024,64,M
241104541,1/13/2024,27,M
241904538,1/12/2024,25,M
240200529,1/13/2024,24,M
241204556,1/9/2024,26,M
6741653,1/13/2024,26,F
241104543,1/13/2024,46,F
6737113,1/4/2024,43,M
240104620,1/9/2024,18,M
241900518,1/7/2024,47,M
6738484,1/7/2024,19,M
6740316,1/10/2024,36,M
6740907,1/11/2024,31,F
6739174,1/8/2024,43,M
6740262,1/10/2024,19,M
241304350,1/8/2024,51,M
6739459,1/9/2024,47,M
6738542,1/7/2024,28,M
6738629,1/7/2024,25,M
6739926,1/10/2024,32,F
6740916,1/11/2024,21,M
6741495,1/12/2024,36,M
6739351,1/9/2024,25,M
6738449,1/7/2024,55,M
6738507,1/7/2024,31,M
6739533,1/9/2024,40,F
6739987,1/10/2024,25,F
6739279,1/8/2024,20,M
6742057,1/13/2024,37,M
6738683,1/7/2024,41,M
6740635,1/11/2024,40,M
6738569,1/7/2024,55,M
6740237,1/10/2024,22,M
6741932,1/13/2024,23,M
6739129,1/8/2024,57,M
241904536,1/12/2024,36,F
6740582,1/11/2024,21,M
6736969,1/4/2024,36,M
241104538,1/13/2024,23,F
6739412,1/9/2024,37,M
241904443,1/12/2024,43,F
6738465,1/6/2024,49,M
6735865,1/2/2024,61,M
240204413,1/8/2024,27,M
6739512,1/9/2024,23,M
6740641,1/11/2024,34,M
6738922,1/7/2024,31,M
240404379,1/5/2024,63,F
6741964,1/13/2024,34,F
6741505,1/12/2024,70,M
241210199,4/16/2024,25,F
240204375,1/8/2024,19,F
241804640,1/13/2024,23,M
6737313,1/4/2024,39,M
240104766,1/12/2024,27,M
241504504,1/9/2024,31,M
6740098,1/10/2024,31,M
6740303,1/10/2024,33,M
6738931,1/7/2024,57,M
6740622,1/11/2024,35,M
6739898,1/9/2024,31,M
241904433,1/11/2024,51,M
241504375,1/7/2024,22,M
6740729,1/11/2024,38,M
6740955,1/11/2024,38,M
240200528,1/13/2024,40,M
6741976,1/13/2024,28,M
6737761,1/5/2024,34,M
240204431,1/8/2024,30,M
6741344,1/12/2024,53,F
6739052,1/8/2024,43,M
6736511,1/3/2024,30,M
6739539,1/9/2024,31,F
6739484,1/9/2024,49,F
6735677,1/1/2024,31,M
6739942,1/10/2024,31,M
240104913,1/13/2024,41,M
6738510,1/7/2024,50,M
6740198,1/10/2024,24,M
6738566,1/7/2024,33,M
240104919,1/13/2024,26,F
6741287,1/12/2024,35,M
6741662,1/13/2024,55,M
240504351,1/1/2024,61,M
6740565,1/11/2024,31,M
240204420,1/8/2024,31,M
6738585,1/7/2024,21,M
6737770,1/5/2024,38,M
6739858,1/9/2024,25,F
6739924,1/10/2024,41,M
6740688,1/11/2024,26,M
6738695,1/7/2024,33,F
6738323,1/6/2024,40,M
6739535,1/9/2024,32,M
240104917,1/13/2024,36,M
241404516,1/12/2024,56,M
6738522,1/7/2024,35,M
6737987,1/6/2024,26,M
241504469,1/9/2024,28,M
240104671,1/10/2024,40,F
6738525,1/7/2024,41,M
6739538,1/9/2024,29,M
6738604,1/7/2024,51,M
240204563,1/9/2024,27,F
241104335,1/10/2024,27,M
6739474,1/9/2024,25,M
242104399,1/10/2024,26,M
6739524,1/9/2024,39,M
6738456,1/6/2024,23,F
6741646,1/13/2024,50,M
6740244,1/10/2024,22,M
6737991,1/6/2024,42,M
6739878,1/9/2024,55,F
6739894,1/9/2024,24,M
6739280,1/8/2024,36,M
6739062,1/8/2024,34,F
240104890,1/13/2024,20,M
6742159,1/13/2024,43,F
6740909,1/11/2024,32,F
6737763,1/5/2024,31,M
240104882,1/13/2024,33,M
6741284,1/12/2024,42,M
6739033,1/8/2024,30,M
6735838,1/2/2024,38,M
6735810,1/2/2024,29,M
241304408,1/7/2024,49,M
6739257,1/8/2024,57,M
6738071,1/6/2024,29,M
241504509,1/4/2024,29,M
240204463,1/9/2024,31,M
241104350,1/10/2024,34,M
6742021,1/13/2024,48,M
6740938,1/11/2024,30,M
240204503,1/9/2024,28,M
6739231,1/8/2024,42,F
6739285,1/8/2024,50,M
6739913,1/10/2024,57,M
6741918,1/13/2024,37,M
6742003,1/13/2024,59,M
6741521,1/12/2024,41,M
6739406,1/9/2024,67,M
240104622,1/8/2024,25,M
6739262,1/8/2024,29,M
6741892,1/13/2024,30,M
240504424,1/12/2024,39,M
6739251,1/8/2024,35,M
241504496,1/9/2024,29,M
242104346,1/8/2024,39,M
241504430,1/7/2024,28,F
6738687,1/7/2024,34,M
240204378,1/8/2024,31,M
6741880,1/13/2024,38,F
6738921,1/7/2024,17,F
6740154,1/10/2024,36,M
6740872,1/11/2024,25,M
241600509,1/7/2024,31,M
6740691,1/11/2024,30,M
6737282,1/4/2024,38,M
6738496,1/7/2024,28,F
6739842,1/9/2024,28,M
6737786,1/5/2024,26,M
